"","gene_name","gene_id","typeofgene","type_from_gtf","mt"
"1","0610005C13Rik","ENSMUSG00000109644","lncRNA","lncRNA",FALSE
"2","0610006L08Rik","ENSMUSG00000108652","lncRNA","lncRNA",FALSE
"3","0610009B22Rik","ENSMUSG00000007777","protein_coding","protein_coding",FALSE
"4","0610009E02Rik","ENSMUSG00000086714","lncRNA","lncRNA",FALSE
"5","0610009L18Rik","ENSMUSG00000043644","lncRNA","lncRNA",FALSE
"6","0610010F05Rik","ENSMUSG00000042208","protein_coding","protein_coding",FALSE
"7","0610010K14Rik","ENSMUSG00000020831","protein_coding","protein_coding",FALSE
"8","0610012D04Rik","ENSMUSG00000089755","lncRNA","lncRNA",FALSE
"9","0610012G03Rik","ENSMUSG00000107002","protein_coding","protein_coding",FALSE
"10","0610025J13Rik","ENSMUSG00000046683","lncRNA","lncRNA",FALSE
"11","0610030E20Rik","ENSMUSG00000058706","protein_coding","protein_coding",FALSE
"12","0610031O16Rik","ENSMUSG00000099146","lncRNA","lncRNA",FALSE
"13","0610033M10Rik","ENSMUSG00000108236","lncRNA","lncRNA",FALSE
"14","0610038B21Rik","ENSMUSG00000097882","lncRNA","lncRNA",FALSE
"15","0610039K10Rik","ENSMUSG00000058812","lncRNA","lncRNA",FALSE
"16","0610040B10Rik","ENSMUSG00000089889","lncRNA","lncRNA",FALSE
"17","0610040F04Rik","ENSMUSG00000087341","lncRNA","lncRNA",FALSE
"18","0610040J01Rik","ENSMUSG00000060512","protein_coding","protein_coding",FALSE
"19","0610043K17Rik","ENSMUSG00000087361","lncRNA","lncRNA",FALSE
"20","0710001A04Rik","ENSMUSG00000114511","lncRNA","lncRNA",FALSE
"21","1010001B22Rik","ENSMUSG00000097863","lncRNA","lncRNA",FALSE
"22","1100001I12Rik","ENSMUSG00000115547","lncRNA","lncRNA",FALSE
"23","1110002E22Rik","ENSMUSG00000090066","protein_coding","protein_coding",FALSE
"24","1110002J07Rik","ENSMUSG00000097134","lncRNA","lncRNA",FALSE
"25","1110002L01Rik","ENSMUSG00000071456","lncRNA","lncRNA",FALSE
"26","1110002O04Rik","ENSMUSG00000102531","lncRNA","lncRNA",FALSE
"27","1110003F10Rik","ENSMUSG00000106291","TEC","TEC",FALSE
"28","1110004F10Rik","ENSMUSG00000030663","protein_coding","protein_coding",FALSE
"29","1110006O24Rik","ENSMUSG00000107121","lncRNA","lncRNA",FALSE
"30","1110008E08Rik","ENSMUSG00000046119","lncRNA","lncRNA",FALSE
"31","1110008P14Rik","ENSMUSG00000039195","protein_coding","protein_coding",FALSE
"32","1110013H19Rik","ENSMUSG00000116164","lncRNA","lncRNA",FALSE
"33","1110015O18Rik","ENSMUSG00000098659","lncRNA","lncRNA",FALSE
"34","1110017D15Rik","ENSMUSG00000028441","protein_coding","protein_coding",FALSE
"35","1110018N20Rik","ENSMUSG00000085151","lncRNA","lncRNA",FALSE
"36","1110019B22Rik","ENSMUSG00000112289","lncRNA","lncRNA",FALSE
"37","1110019D14Rik","ENSMUSG00000097616","lncRNA","lncRNA",FALSE
"38","1110020A21Rik","ENSMUSG00000097047","lncRNA","lncRNA",FALSE
